,Dataset Order,Dataset Title,Dataset Link,Dataset Produced By,Dataset Description,Dataset Identificador,Dataset Publisher,Dataset Author,Dataset Contact Name,Dataset Contact Email,Dataset Release Date,Dataset Modified Date,Dataset Temporal Coverage,Dataset Frequency,Dataset Public Access Level,Dataset Homepage URL,Dataset Language,Dataset License,File Title,File Description,File Format,File Link
10,N_02,Consumo de Energía Eléctrica de los clientes de Electro Ucayali SA,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-electro-ucayali-sa,Electro Ucayali,,3ba5c056-67db-41e5-aa9f-1197e743b1c2,Electro Ucayali,Soria Marina Cesar Homero,Soria Marina Cesar Homero,cesar.soria@electroucayali.com.pe ,2022-11-09,2023-09-15,"Miércoles, Noviembre 9, 2022 - 00:00",Monthly,Public,,Spanish (Peru),Open Data Commons Attribution ,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [Electro Ucayali S.A. - ELUC] - Diciembre 2022,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [...,csv,https://www.datosabiertos.gob.pe/sites/default/files/Consumo%20de%20Energ%C3%ADa%20El%C3%A9ctrica%20de%20los%20clientes%20de%20Electro%20Ucayali%20S.A.%20-%20%5BElectro%20Ucayali%20S.A.%20-%20ELUC%5D%20-%20Diciembre%202022.csv
11,N_02,Consumo de Energía Eléctrica de los clientes de Electro Ucayali SA,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-electro-ucayali-sa,Electro Ucayali,,3ba5c056-67db-41e5-aa9f-1197e743b1c2,Electro Ucayali,Soria Marina Cesar Homero,Soria Marina Cesar Homero,cesar.soria@electroucayali.com.pe ,2022-11-09,2023-09-15,"Miércoles, Noviembre 9, 2022 - 00:00",Monthly,Public,,Spanish (Peru),Open Data Commons Attribution ,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [Electro Ucayali S.A. - ELUC] - Enero 2023,,csv,https://www.datosabiertos.gob.pe/sites/default/files/Consumo%20de%20Energ%C3%ADa%20El%C3%A9ctrica%20de%20los%20clientes%20de%20Electro%20Ucayali%20S.A.%20-%20%5BElectro%20Ucayali%20S.A.%20-%20ELUC%5D%20-%20Enero%202023.csv
12,N_02,Consumo de Energía Eléctrica de los clientes de Electro Ucayali SA,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-electro-ucayali-sa,Electro Ucayali,,3ba5c056-67db-41e5-aa9f-1197e743b1c2,Electro Ucayali,Soria Marina Cesar Homero,Soria Marina Cesar Homero,cesar.soria@electroucayali.com.pe ,2022-11-09,2023-09-15,"Miércoles, Noviembre 9, 2022 - 00:00",Monthly,Public,,Spanish (Peru),Open Data Commons Attribution ,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [Electro Ucayali S.A. - ELUC] - Febrero 2023,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [...,csv,https://www.datosabiertos.gob.pe/sites/default/files/Consumo%20de%20Energ%C3%ADa%20El%C3%A9ctrica%20de%20los%20clientes%20de%20Electro%20Ucayali%20S.A.%20-%20%5BElectro%20Ucayali%20S.A.%20-%20ELUC%5D%20-%20Febrero%202023.csv
13,N_02,Consumo de Energía Eléctrica de los clientes de Electro Ucayali SA,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-electro-ucayali-sa,Electro Ucayali,,3ba5c056-67db-41e5-aa9f-1197e743b1c2,Electro Ucayali,Soria Marina Cesar Homero,Soria Marina Cesar Homero,cesar.soria@electroucayali.com.pe ,2022-11-09,2023-09-15,"Miércoles, Noviembre 9, 2022 - 00:00",Monthly,Public,,Spanish (Peru),Open Data Commons Attribution ,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [Electro Ucayali S.A. - ELUC] - Marzo 2023,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [...,csv,https://www.datosabiertos.gob.pe/sites/default/files/Consumo%20de%20Energ%C3%ADa%20El%C3%A9ctrica%20de%20los%20clientes%20de%20Electro%20Ucayali%20S.A.%20-%20%5BElectro%20Ucayali%20S.A.%20-%20ELUC%5D%20-%20Marzo%202023.csv
14,N_02,Consumo de Energía Eléctrica de los clientes de Electro Ucayali SA,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-electro-ucayali-sa,Electro Ucayali,,3ba5c056-67db-41e5-aa9f-1197e743b1c2,Electro Ucayali,Soria Marina Cesar Homero,Soria Marina Cesar Homero,cesar.soria@electroucayali.com.pe ,2022-11-09,2023-09-15,"Miércoles, Noviembre 9, 2022 - 00:00",Monthly,Public,,Spanish (Peru),Open Data Commons Attribution ,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [Electro Ucayali S.A. - ELUC] - Abril 2023,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [...,csv,https://www.datosabiertos.gob.pe/sites/default/files/Consumo%20de%20Energ%C3%ADa%20El%C3%A9ctrica%20de%20los%20clientes%20de%20Electro%20Ucayali%20S.A.%20-%20%5BElectro%20Ucayali%20S.A.%20-%20ELUC%5D%20-%20Abril%202023.csv
15,N_02,Consumo de Energía Eléctrica de los clientes de Electro Ucayali SA,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-electro-ucayali-sa,Electro Ucayali,,3ba5c056-67db-41e5-aa9f-1197e743b1c2,Electro Ucayali,Soria Marina Cesar Homero,Soria Marina Cesar Homero,cesar.soria@electroucayali.com.pe ,2022-11-09,2023-09-15,"Miércoles, Noviembre 9, 2022 - 00:00",Monthly,Public,,Spanish (Peru),Open Data Commons Attribution ,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [Electro Ucayali S.A. - ELUC] - Mayo 2023,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [...,csv,https://www.datosabiertos.gob.pe/sites/default/files/Consumo%20de%20Energ%C3%ADa%20El%C3%A9ctrica%20de%20los%20clientes%20de%20Electro%20Ucayali%20S.A.%20-%20%5BElectro%20Ucayali%20S.A.%20-%20ELUC%5D%20-%20Mayo%202023.csv
16,N_02,Consumo de Energía Eléctrica de los clientes de Electro Ucayali SA,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-electro-ucayali-sa,Electro Ucayali,,3ba5c056-67db-41e5-aa9f-1197e743b1c2,Electro Ucayali,Soria Marina Cesar Homero,Soria Marina Cesar Homero,cesar.soria@electroucayali.com.pe ,2022-11-09,2023-09-15,"Miércoles, Noviembre 9, 2022 - 00:00",Monthly,Public,,Spanish (Peru),Open Data Commons Attribution ,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [Electro Ucayali S.A. - ELUC] - Junio 2023,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [...,csv,https://www.datosabiertos.gob.pe/sites/default/files/Consumo%20de%20Energ%C3%ADa%20El%C3%A9ctrica%20de%20los%20clientes%20de%20Electro%20Ucayali%20S.A.%20-%20%5BElectro%20Ucayali%20S.A.%20-%20ELUC%5D%20-%20Junio%202023.csv
17,N_02,Consumo de Energía Eléctrica de los clientes de Electro Ucayali SA,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-electro-ucayali-sa,Electro Ucayali,,3ba5c056-67db-41e5-aa9f-1197e743b1c2,Electro Ucayali,Soria Marina Cesar Homero,Soria Marina Cesar Homero,cesar.soria@electroucayali.com.pe ,2022-11-09,2023-09-15,"Miércoles, Noviembre 9, 2022 - 00:00",Monthly,Public,,Spanish (Peru),Open Data Commons Attribution ,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [Electro Ucayali S.A. - ELUC] - Julio 2023,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [...,csv,https://www.datosabiertos.gob.pe/sites/default/files/Consumo%20de%20Energ%C3%ADa%20El%C3%A9ctrica%20de%20los%20clientes%20de%20Electro%20Ucayali%20S.A.%20-%20%5BElectro%20Ucayali%20S.A.%20-%20ELUC%5D%20-%20julio%202023.csv
18,N_02,Consumo de Energía Eléctrica de los clientes de Electro Ucayali SA,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-electro-ucayali-sa,Electro Ucayali,,3ba5c056-67db-41e5-aa9f-1197e743b1c2,Electro Ucayali,Soria Marina Cesar Homero,Soria Marina Cesar Homero,cesar.soria@electroucayali.com.pe ,2022-11-09,2023-09-15,"Miércoles, Noviembre 9, 2022 - 00:00",Monthly,Public,,Spanish (Peru),Open Data Commons Attribution ,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [Electro Ucayali S.A. - ELUC] - Agosto 2023,Consumo de Energía Eléctrica de los clientes de Electro Ucayali S.A. - [...,csv,https://www.datosabiertos.gob.pe/sites/default/files/Consumo%20de%20Energ%C3%ADa%20El%C3%A9ctrica%20de%20los%20clientes%20de%20Electro%20Ucayali%20S.A.%20-%20%5BElectro%20Ucayali%20S.A.%20-%20ELUC%5D%20-%20Agosto%202023.csv
19,N_03,GASTOS DE USO DE VEHÍCULOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro Ucayali S.A. - ELUC],https://www.datosabiertos.gob.pe//dataset/gastos-de-uso-de-veh%C3%ADculos-de-la-empresa-electro-ucayali-sa-electro-ucayali-sa-eluc,Electro Ucayali,GASTOS DE USO DE VEHÍCULOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro Ucayali S.A. - ELUC],b6006583-6ed8-4f2b-859c-aca1417a09a5,Electro Ucayali,Soria Marina Cesar Homero,Soria Marina Cesar Homero,cesar.soria@electroucayali.com.pe ,2023-06-05,2023-09-15,,Triennial,Public,,,Open Data Commons Attribution ,METADATOS DE GASTOS DE USO DE VEHÍCULOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro Ucayali S.A. - ELUC],METADATOS DE GASTOS DE USO DE VEHÍCULOS DE LA EMPRESA ELECTRO UCAYALI S.A...,docx,https://www.datosabiertos.gob.pe/sites/default/files/METADATOS%20DE%20GASTOS%20DE%20USO%20DE%20VEH%C3%8DCULOS%20DE%20LA%20EMPRESA%20ELECTRO%20UCAYALI%20S.A.%20-%20%5BElectro%20Ucayali%20S.A.%20-%20ELUC%5D.docx
20,N_03,GASTOS DE USO DE VEHÍCULOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro Ucayali S.A. - ELUC],https://www.datosabiertos.gob.pe//dataset/gastos-de-uso-de-veh%C3%ADculos-de-la-empresa-electro-ucayali-sa-electro-ucayali-sa-eluc,Electro Ucayali,GASTOS DE USO DE VEHÍCULOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro Ucayali S.A. - ELUC],b6006583-6ed8-4f2b-859c-aca1417a09a5,Electro Ucayali,Soria Marina Cesar Homero,Soria Marina Cesar Homero,cesar.soria@electroucayali.com.pe ,2023-06-05,2023-09-15,,Triennial,Public,,,Open Data Commons Attribution ,DICCIONARIO DE DATOS DE GASTOS DE USO DE VEHÍCULOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro Ucayali S.A. - ELUC],DICCIONARIO DE DATOS DE GASTOS DE USO DE VEHÍCULOS DE LA EMPRESA ELECTRO...,xlsx,https://www.datosabiertos.gob.pe/sites/default/files/DICCIONARIO%20DE%20DATOS%20DE%20GASTOS%20DE%20USO%20DE%20VEH%C3%8DCULOS%20DE%20LA%20EMPRESA%20ELECTRO%20UCAYALI%20S.A.%20-%20%5BElectro%20Ucayali%20S.A.%20-%20ELUC%5D.xlsx
21,N_03,GASTOS DE USO DE VEHÍCULOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro Ucayali S.A. - ELUC],https://www.datosabiertos.gob.pe//dataset/gastos-de-uso-de-veh%C3%ADculos-de-la-empresa-electro-ucayali-sa-electro-ucayali-sa-eluc,Electro Ucayali,GASTOS DE USO DE VEHÍCULOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro Ucayali S.A. - ELUC],b6006583-6ed8-4f2b-859c-aca1417a09a5,Electro Ucayali,Soria Marina Cesar Homero,Soria Marina Cesar Homero,cesar.soria@electroucayali.com.pe ,2023-06-05,2023-09-15,,Triennial,Public,,,Open Data Commons Attribution ,GASTOS DE USO DE VEHÍCULOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro Ucayali S.A. - ELUC] - I TRIMESTRE,GASTOS DE USO DE VEHÍCULOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro...,csv,https://www.datosabiertos.gob.pe/sites/default/files/GASTOS%20DE%20USO%20DE%20VEH%C3%8DCULOS%20DE%20LA%20EMPRESA%20ELECTRO%20UCAYALI%20S.A.%20-%20%5BElectro%20Ucayali%20S.A.%20-%20ELUC%5D%20-%20I%20TRIMESTRE_0.csv
22,N_03,GASTOS DE USO DE VEHÍCULOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro Ucayali S.A. - ELUC],https://www.datosabiertos.gob.pe//dataset/gastos-de-uso-de-veh%C3%ADculos-de-la-empresa-electro-ucayali-sa-electro-ucayali-sa-eluc,Electro Ucayali,GASTOS DE USO DE VEHÍCULOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro Ucayali S.A. - ELUC],b6006583-6ed8-4f2b-859c-aca1417a09a5,Electro Ucayali,Soria Marina Cesar Homero,Soria Marina Cesar Homero,cesar.soria@electroucayali.com.pe ,2023-06-05,2023-09-15,,Triennial,Public,,,Open Data Commons Attribution ,GASTOS DE USO DE VEHÍCULOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro Ucayali S.A. - ELUC] - II TRIMESTRE,GASTOS DE USO DE VEHÍCULOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro...,csv,https://www.datosabiertos.gob.pe/sites/default/files/GASTOS%20DE%20USO%20DE%20VEH%C3%8DCULOS%20DE%20LA%20EMPRESA%20ELECTRO%20UCAYALI%20S.A.%20-%20%5BElectro%20Ucayali%20S.A.%20-%20ELUC%5D%20-%20II%20TRIMESTRE.csv
23,N_04,ORDENES DE COMPRA Y SERVICIOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro Ucayali S.A. - ELUC],https://www.datosabiertos.gob.pe//dataset/ordenes-de-compra-y-servicios-de-la-empresa-electro-ucayali-sa-electro-ucayali-sa-eluc,Electro Ucayali,Es el registro de órdenes de compra y servicios efectuados por diferentes personas naturales y jurídicas a la empresa Electro Ucayali S.A.,af9d03b3-a609-4ba7-98c1-646fbcfd1e9a,Electro Ucayali,,,,2023-05-31,2023-09-15,,,Public,,,Open Data Commons Attribution ,ORDENES DE COMPRA Y SERVICIOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro Ucayali S.A. - ELUC] - I TRIMESTRE 2023,ORDENES DE COMPRA Y SERVICIOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro...,csv,https://www.datosabiertos.gob.pe/sites/default/files/ORDENES%20DE%20COMPRA%20Y%20SERVICIOS%20DE%20LA%20EMPRESA%20ELECTRO%20UCAYALI%20S.A.%20-%20%28ELECTRO%20UCAYALI%20S.A.%20-%20ELUC%29%20-%20I%20TRIMESTRE%202023_0.csv
24,N_04,ORDENES DE COMPRA Y SERVICIOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro Ucayali S.A. - ELUC],https://www.datosabiertos.gob.pe//dataset/ordenes-de-compra-y-servicios-de-la-empresa-electro-ucayali-sa-electro-ucayali-sa-eluc,Electro Ucayali,Es el registro de órdenes de compra y servicios efectuados por diferentes personas naturales y jurídicas a la empresa Electro Ucayali S.A.,af9d03b3-a609-4ba7-98c1-646fbcfd1e9a,Electro Ucayali,,,,2023-05-31,2023-09-15,,,Public,,,Open Data Commons Attribution ,DICCIONARIO DE DATOS DE ORDENES DE COMPRA Y SERVICIOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [ELECTRO UCAYALI S.A. - ELUC],DICCIONARIO DE DATOS DE ORDENES DE COMPRA Y SERVICIOS DE LA EMPRESA ELECTRO...,xlsx,https://www.datosabiertos.gob.pe/sites/default/files/DICCIONARIO%20DE%20DATOS%20DE%20ORDENES%20DE%20COMPRA%20Y%20SERVICIOS%20DE%20LA%20EMPRESA%20ELECTRO%20UCAYALI%20S.A.%20-%20%5BELECTRO%20UCAYALI%20S.A.%20-%20ELUC%5D.xlsx
25,N_04,ORDENES DE COMPRA Y SERVICIOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [Electro Ucayali S.A. - ELUC],https://www.datosabiertos.gob.pe//dataset/ordenes-de-compra-y-servicios-de-la-empresa-electro-ucayali-sa-electro-ucayali-sa-eluc,Electro Ucayali,Es el registro de órdenes de compra y servicios efectuados por diferentes personas naturales y jurídicas a la empresa Electro Ucayali S.A.,af9d03b3-a609-4ba7-98c1-646fbcfd1e9a,Electro Ucayali,,,,2023-05-31,2023-09-15,,,Public,,,Open Data Commons Attribution ,METADATOS DE ORDENES DE COMPRA Y SERVICIOS DE LA EMPRESA ELECTRO UCAYALI S.A. - [ELECTRO UCAYALI S.A. - ELUC],METADATOS DE ORDENES DE COMPRA Y SERVICIOS DE LA EMPRESA ELECTRO UCAYALI S.A...,docx,https://www.datosabiertos.gob.pe/sites/default/files/METADATOS%20DE%20ORDENES%20DE%20COMPRA%20Y%20SERVICIOS%20DE%20LA%20EMPRESA%20ELECTRO%20UCAYALI%20S.A.%20-%20%5BELECTRO%20UCAYALI%20S.A.%20-%20ELUC%5D.docx
