,Dataset Order,Dataset Title,Dataset Link,Dataset Produced By,Dataset Description,Dataset Public Access Level,Dataset Author,Dataset Modified Date,Dataset Frequency,Dataset Language,Dataset Contact Name,Dataset Contact Email,Dataset Publisher,Dataset Release Date,Dataset License,Dataset Identificador,Dataset Homepage URL,Dataset Temporal Coverage
10,N_10,Consumo de Energía Eléctrica de los clientes de ADINELSA | Julio 2023,https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-adinelsa-julio-2023,Empresa de Administración en Infraestructura Eléctrica S.A - ADINELSA,Consumo de Energía Eléctrica de los clientes de ADINELSA - [Empresa de Administración en Infraestructura Eléctrica S.A. - ADINELSA],Public,,2023-08-09,,,,,Empresa de Administración en Infraestructura Eléctrica S.A - ADINELSA,2023-08-09,Open Data Commons Attribution ,a00d4016-c86b-4bed-8314-7695941d25e9,,
11,N_11,Consumo de Energía Eléctrica de los clientes de ADINELSA - [Empresa de Administración en Infraestructura Eléctrica S.A. - ADINELSA],https://www.datosabiertos.gob.pe//dataset/consumo-de-energ%C3%ADa-el%C3%A9ctrica-de-los-clientes-de-adinelsa-empresa-de-administraci%C3%B3n-en,Empresa de Administración en Infraestructura Eléctrica S.A - ADINELSA,Información de consumo de Energía Eléctrica de los clientes de ADINELSA - [Empresa de Administración en Infraestructura Eléctrica S.A. - ADINELSA],Public,,2023-06-07,,,,,Empresa de Administración en Infraestructura Eléctrica S.A - ADINELSA,2023-05-05,Open Data Commons Attribution ,71824d6e-a85c-4822-a1ca-3653cb31ae0d,,
12,N_12,Registro de Hidrocarburos Líquidos - Mayo 2023 - Osinergmin,https://www.datosabiertos.gob.pe//dataset/registro-de-hidrocarburos-l%C3%ADquidos-mayo-2023-osinergmin,Presidencia del Consejo de Ministros,Para desarrollar actividades de comercialización en el subsector de hidrocarburos se requiere la Inscripción en el Registro de Hidrocarburos del Osinergmin.,Public,,2023-05-23,,,,,Presidencia del Consejo de Ministros,2023-05-23,,3d191d9d-13c2-4315-8b47-a62f5caff835,,
13,N_13,Cantidad de Usuarios y Potencia Contratada del servicio de Energía Eléctrica por Distrito en el área de concesión de Electro Sur Este S.A.A. (ELSE),https://www.datosabiertos.gob.pe//dataset/cantidad-de-usuarios-y-potencia-contratada-del-servicio-de-energ%C3%ADa-el%C3%A9ctrica-por-distrito-en,Electro Sur Este S.A.A.,"El dataset contiene el resumen de la potencia contratada y la cantidad de suministros que brinda ELSE
dentro de su zona de concesión",Public,,2022-12-27,,,,,Electro Sur Este S.A.A.,2022-12-27,Open Data Commons Attribution ,8a7cbcf9-f192-4f66-8c59-92151e01f45d,,
14,N_14,Encuesta Nacional de Programas Presupuestales (ENAPRES) 2020 - [Instituto Nacional de Estadística e Informática - INEI],https://www.datosabiertos.gob.pe//dataset/encuesta-nacional-de-programas-presupuestales-enapres-2020-instituto-nacional-de-estad%C3%ADstica,,"La Encuesta Nacional de Programas Presupuestales – ENAPRES, se viene ejecutando desde el año 2010 en el área urbana y rural de los 24 Departamentos y la Provincia Constitucional del Callao, como parte de las investigaciones que ",Public,,2022-02-19,,,,,,2022-02-18,Open Data Commons Open Database ,28fff2dc-6314-404b-a43e-5e3daacd1ff0,,
15,N_15,  Registro de Hidrocarburos Líquidos - Octubre 2020 - OSINERGMIN,https://www.datosabiertos.gob.pe//dataset/registro-de-hidrocarburos-l%C3%ADquidos-octubre-2020-osinergmin,Presidencia del Consejo de Ministros,Para desarrollar actividades de comercialización en el subsector de hidrocarburos se requiere la Inscripción en el Registro de Hidrocarburos del Osinergmin.,Public,Organismo Supervisor de la Inversión en Energía y Minería,2021-06-13,,,,,Presidencia del Consejo de Ministros,2020-10-29,,e5537fe2-d05a-442f-90e5-73a957c431f1,,
16,N_16,Profesionales en Estudios de Riesgos y Planes de Contingencia - Marzo 2020 OSINERGMIN,https://www.datosabiertos.gob.pe//dataset/profesionales-en-estudios-de-riesgos-y-planes-de-contingencia-marzo-2020-osinergmin,Presidencia del Consejo de Ministros,Registro de Profesionales Expertos en Elaborar Estudios de Riesgos y Planes de Contingencia para las Actividades de Hidrocarburos:,Public,Organismo Supervisor de la Inversión en Energía y Minería,2021-06-13,,Spanish (Peru),,,Presidencia del Consejo de Ministros,2020-10-27,,fe6cb1d1-d2f1-497b-a81c-0107e0c15aa4,http://gasnatural.osinerg.gob.pe/registros_expertos_estudios_riesgo_planes_conti...,
17,N_17,Registro de Gas Natural - Septiembre 2020 - OSINERGMIN,https://www.datosabiertos.gob.pe//dataset/registro-de-gas-natural-septiembre-2020-osinergmin,Presidencia del Consejo de Ministros,Registro de Gas Natural categorizado por:,Public,Organismo Supervisor de la Inversión en Energía y Minería,2021-06-13,,Spanish (Peru),,,Presidencia del Consejo de Ministros,2020-10-28,,c8631d29-2bf5-46e9-9be7-b327e1bab2f0,https://www.osinergmin.gob.pe/empresas/hidrocarburos/Paginas/RegistroHidrocarbur...,
18,N_18,Sistema de Tanques Enterrados (STE) - Registro Personas - Índice de Riesgos - Setiembre 2020 - OSINERGMIN,https://www.datosabiertos.gob.pe//dataset/sistema-de-tanques-enterrados-ste-registro-personas-%C3%ADndice-de-riesgos-setiembre-2020,Presidencia del Consejo de Ministros,Registro de Personas que elaborarán el Informe de Índice de Riesgos de los Sistemas de Tanques Enterrados,Public,Organismo Supervisor de la Inversión en Energía y Mineria,2021-06-13,,,,,Presidencia del Consejo de Ministros,2020-10-27,,a32329ed-08c5-4f3f-b61e-d7d384406538,https://www.osinergmin.gob.pe/empresas/hidrocarburos/indice-riesgos,
19,N_19,Registro de Hidrocarburos Líquidos - Septiembre 2018 - OSINERGMIN,https://www.datosabiertos.gob.pe//dataset/registro-de-hidrocarburos-l%C3%ADquidos-septiembre-2018-osinergmin,Presidencia del Consejo de Ministros,,Public,,2018-09-21,,,,,Presidencia del Consejo de Ministros,2018-09-14,,46159e83-8d1e-4e6e-af49-c49621ebea9b,,
20,N_20,Inscripción de Empresas Cubicadoras - Noviembre 2017- OSINERGMIN ,https://www.datosabiertos.gob.pe//dataset/inscripci%C3%B3n-de-empresas-cubicadoras-noviembre-2017-osinergmin,Presidencia del Consejo de Ministros,Registro de Empresas Cubicadoras con inscripción Temporal y Definitiva - Sector Hidrocarburos,Public,,2018-09-19,,,,,Presidencia del Consejo de Ministros,2018-09-17,,282146da-71b6-433e-add5-b0d0f244c0d0,,
21,N_21,Profesionales en Estudios de Riesgos y Planes de Contingencia - Julio 2018 Osinergmin,https://www.datosabiertos.gob.pe//dataset/profesionales-en-estudios-de-riesgos-y-planes-de-contingencia-julio-2018-osinergmin,Presidencia del Consejo de Ministros,Registro de Profesionales Expertos en Elaborar Estudios de Riesgos y Planes de Contingencia para las Actividades de Hidrocarburos: - Especialista en Actividades de Hidrocarburos - Especialista en Evaluación de Riesgos - Especialista en Seguridad I,Public,,2018-09-17,,,,,Presidencia del Consejo de Ministros,2018-09-17,,ab0176f4-0c59-4be5-850d-b8bf8a3ed496,,
22,N_22,Sistema de Tanques Enterrados (STE) - Registro Personas - Indice de Riesgos - Junio 2018 - OSINERGMIN ,https://www.datosabiertos.gob.pe//dataset/sistema-de-tanques-enterrados-ste-registro-personas-indice-de-riesgos-junio-2018-osinergmin,Presidencia del Consejo de Ministros,,Public,,2018-09-17,,,,,Presidencia del Consejo de Ministros,2018-09-17,,16d7e883-8c99-4aaa-a83b-174b03b276cc,,
23,N_23,Registro de Instaladores Habilitados de Gas Natural - Septiembre 2018 - OSINERGMIN,https://www.datosabiertos.gob.pe//dataset/registro-de-instaladores-habilitados-de-gas-natural-septiembre-2018-osinergmin,Presidencia del Consejo de Ministros,,Public,,2018-09-17,,,,,Presidencia del Consejo de Ministros,2018-09-17,,c909ed48-390a-434e-a17a-65eddeb827f6,,
24,N_24,Registro de Gas Natural - Septiembre 2018 - OSINERGMIN ,https://www.datosabiertos.gob.pe//dataset/registro-de-gas-natural-septiembre-2018-osinergmin,Presidencia del Consejo de Ministros,"""Registro de Gas Natural categorizado por: - Gas Natural Comprimido - Gas Natural Vehicular""",Public,,2018-09-14,,,,,Presidencia del Consejo de Ministros,2018-09-14,,039ff26b-a914-4298-9f03-8952b95698c9,,
25,N_25,Sistema de Tanques Enterrados (STE) - Registro Personas - Indice de Riesgos - Agosto 2017 - OSINERGMIN ,https://www.datosabiertos.gob.pe//dataset/sistema-de-tanques-enterrados-ste-registro-personas-indice-de-riesgos-agosto-2017-osinergmin,,,,,2017-09-27,,,,,,2017-09-27,,e2350075-0c9b-4279-85de-8cc27e0ec409,,
26,N_26,Registro de Hidrocarburos Líquidos - Agosto 2017 - OSINERGMIN ,https://www.datosabiertos.gob.pe//dataset/registro-de-hidrocarburos-l%C3%ADquidos-agosto-2017-osinergmin,,,,,2017-09-05,,,,,,2017-09-01,,60a54e4e-f410-4a85-a1fe-bada6afa533e,,
27,N_27,Registro de Gas Natural - Junio 2017 - OSINERGMIN ,https://www.datosabiertos.gob.pe//dataset/registro-de-gas-natural-junio-2017-osinergmin,,,,,2017-08-24,,,,,,2017-08-24,,d3d74459-97a5-4d81-b8a8-5b4af39f649d,,
28,N_28,Registro de Instaladores Habilitados de Gas Natural - Agosto 2017 - OSINERGMIN ,https://www.datosabiertos.gob.pe//dataset/registro-de-instaladores-habilitados-de-gas-natural-agosto-2017-osinergmin,,,,,2017-08-24,,,,,,2017-08-24,Other (Public Domain),9ce8c5ea-cc8b-4446-8486-fcf43f2d78ce,,
29,N_29,Inscripción de Empresas Cubicadoras - Marzo 2017- OSINERGMIN ,https://www.datosabiertos.gob.pe//dataset/inscripci%C3%B3n-de-empresas-cubicadoras-marzo-2017-osinergmin,Presidencia del Consejo de Ministros,,,,2017-07-06,,,,,Presidencia del Consejo de Ministros,2017-05-18,,a3b23dc5-1376-4571-bccd-3910e9f7c23e,,
30,N_30,Pliegos Tarifarios aplicables al Cliente Final por Departamento - OSINERGMIN,https://www.datosabiertos.gob.pe//dataset/pliegos-tarifarios-aplicables-al-cliente-final-por-departamento-osinergmin,Presidencia del Consejo de Ministros,,,,2017-07-06,,,,,Presidencia del Consejo de Ministros,2017-05-22,,7aadbffb-3295-4865-8eb9-bf8f6e601e43,,
31,N_31,Precios de Referencia de Combustibles Derivados del Petróleo - OSINERGMIN,https://www.datosabiertos.gob.pe//dataset/precios-de-referencia-de-combustibles-derivados-del-petr%C3%B3leo-osinergmin,Presidencia del Consejo de Ministros,,,,2017-07-06,,,,,Presidencia del Consejo de Ministros,2017-06-08,,56e21b5e-93f8-467e-88af-cb1a4788475e,,
32,N_32,Registro de Gas Natural - Marzo 2017 - OSINERGMIN,https://www.datosabiertos.gob.pe//dataset/registro-de-gas-natural-marzo-2017-osinergmin,Presidencia del Consejo de Ministros,,,,2017-07-06,,,,,Presidencia del Consejo de Ministros,2017-05-19,,4d398616-3cdd-4a1a-abcb-5f65c3a10acd,,
33,N_33,Registro de Hidrocarburos Líquidos - Mayo 2017 - OSINERGMIN,https://www.datosabiertos.gob.pe//dataset/registro-de-hidrocarburos-l%C3%ADquidos-mayo-2017-osinergmin,Presidencia del Consejo de Ministros,,,,2017-07-06,,,,,Presidencia del Consejo de Ministros,2017-05-18,,381793fa-9130-4a3b-82f6-799c24f30551,,
34,N_34,Registro de Instaladores Habilitados de Gas Natural - Mayo 2017 - OSINERGMIN ,https://www.datosabiertos.gob.pe//dataset/registro-de-instaladores-habilitados-de-gas-natural-mayo-2017-osinergmin,Presidencia del Consejo de Ministros,,,,2017-07-06,,,,,Presidencia del Consejo de Ministros,2017-05-18,,e4b41f84-0e4e-45a8-a440-b423f368d6ad,,
35,N_35,Sistema de Tanques Enterrados (STE) - Registro Personas - Indice de Riesgos - Febrero 2017 - OSINERGMIN,https://www.datosabiertos.gob.pe//dataset/sistema-de-tanques-enterrados-ste-registro-personas-indice-de-riesgos-febrero-2017,Presidencia del Consejo de Ministros,,,,2017-07-06,,,,,Presidencia del Consejo de Ministros,2017-05-19,,ef007634-7049-4e05-b7c8-4f0299600605,,
